"id","marque","title","description","price","ancien_prix","couleur","matiere","motif","taille","link","image_link","image_2","image_3","type_1","type_2","type_3","genre","stock"
"19070118490","Sandro","Casquette avec broderie logo","Casquette avec broderie logo","SOLDES","85.00","BLANC","","","TU","https://click.linksynergy.com/link?id=gAT1jzC0N4s&offerid=871006.19070118490&type=15&murl=https%3A%2F%2Ffr.sandro-paris.com%2Ffr%2Fhomme%2Faccessoires%2Fcasquettes%2Fcasquette-avec-broderie-logo%2F3607171729456.html","https://fr.sandro-paris.com/on/demandware.static/-/Sites-sandro-catalog-master-H13/default/dw61488ce2/images/h13/Sandro_SHABO00371-10_V_1.jpg","","","MODE","ACCESSOIRES","Casquettes","Homme","in-stock"
"19459227468","Sandro","Casquette avec patch","Casquette avec patch","68.00","85.00","NOIR","","","TU","https://click.linksynergy.com/link?id=gAT1jzC0N4s&offerid=871006.19459227468&type=15&murl=https%3A%2F%2Ffr.sandro-paris.com%2Ffr%2Fhomme%2Faccessoires%2Fcasquettes%2Fcasquette-avec-patch%2F3607171758593.html","https://fr.sandro-paris.com/on/demandware.static/-/Sites-sandro-catalog-master-H13/default/dwf61c7e62/images/h13/Sandro_SHABO00475-20_V_1.jpg","","","MODE","ACCESSOIRES","Casquettes","Homme","in-stock"
"19617898028","Sandro","Casquette avec broderie logo","Casquette avec broderie logo","SOLDES","85.00","NOIR","","","TU","https://click.linksynergy.com/link?id=gAT1jzC0N4s&offerid=871006.19617898028&type=15&murl=https%3A%2F%2Ffr.sandro-paris.com%2Ffr%2Fhomme%2Faccessoires%2Fcasquettes%2Fcasquette-avec-broderie-logo%2F3607171775873.html","https://fr.sandro-paris.com/on/demandware.static/-/Sites-sandro-catalog-master-H13/default/dw97043807/images/h13/Sandro_SHABO00554-20_V_1.jpg","","","MODE","ACCESSOIRES","Casquettes","Homme","in-stock"
